,lat,long,name,addr,uri,reviews,num_reviews,loc_type,description,price,zone
0,40.7034056,-73.9923495,Museum of Food and Drink MOFAD,"55 Water St 2nd Floor, Brooklyn, NY 11201, USA",https://www.mofad.org/,Rating: 4.2,12301,Culture,museum,price level very cheap,DUMBO/Vinegar Hill
1,40.7038431,-73.9870756,AIR,"155 Plymouth St, Brooklyn, NY 11201, USA",http://www.airgallery.org/,Rating: 4.6,18674,Culture,art gallery,price level very cheap,DUMBO/Vinegar Hill
2,40.7037479,-73.9878323,Hudson Wilder,"142 Plymouth St, Brooklyn, NY 11201, USA",https://hudsonwilder.com/,Rating: 4.7,14464,Culture,"home goods store, gift shop, art gallery, cafe, store, food",price level very cheap,DUMBO/Vinegar Hill
3,40.69909260000001,-73.9952017,Truman Capotes House,"70 Willow St, Brooklyn, NY 11201, USA",No URL,Rating: 4.4,14012,Culture,"historical landmark, historical place, tourist attraction, museum",price level very cheap,Brooklyn Heights
4,40.7028115,-73.9905931,Higher Pictures,"45 Main St #723, Brooklyn, NY 11201, USA",http://www.higherpicturesgeneration.com/,Rating: 4.2,5412,Culture,art gallery,price level very cheap,DUMBO/Vinegar Hill
5,40.702399799999995,-73.9810057,Gallery Gaia,"79 Hudson Ave, Brooklyn, NY 11201, USA",https://artindumbo.com/gallery/gallery-gaia/,Rating: 5,15755,Culture,art gallery,price level very cheap,DUMBO/Vinegar Hill
6,40.7028059,-73.9843246,AMR Art DUMBO,"53 Bridge St #706, Brooklyn, NY 11201, USA",https://www.amrartdumbo.com/,Rating: 5,16567,Culture,art gallery,price level very cheap,DUMBO/Vinegar Hill
7,40.7028597,-73.98642339999999,The MoDE  The Museum of Digital Experiences,"65 Jay St, Brooklyn, NY 11201, USA",No URL,Rating: 3.9,19440,Culture,museum,price level very cheap,DUMBO/Vinegar Hill
8,40.7028059,-73.9843246,CREATIVEBLOCH STUDIO  GALLERY,"53 Bridge St #412, Brooklyn, NY 11201, USA",http://www.creativebloch.com/,Rating: 5,9295,Culture,art gallery,price level very cheap,DUMBO/Vinegar Hill
9,40.7036616,-73.98515080000001,Cierra Britton Gallery,"202b Plymouth St, Brooklyn, NY 11201, USA",https://cierrabritton.com/,Rating: 5,9346,Culture,art gallery,price level very cheap,DUMBO/Vinegar Hill
10,40.6983378,-73.9736053,Building 92,"63 Flushing Ave, Brooklyn, NY 11205, USA",http://bldg92.org/,Rating: 4.5,7015,Culture,"tourist attraction, museum",price level very cheap,Brooklyn Navy Yard
11,40.6975344,-73.97096359999999,Head Hi,"146 Flushing Ave, Brooklyn, NY 11205, USA",http://www.headhi.net/,Rating: 4.4,7044,Culture,"coffee shop, art gallery, cafe, gift shop, book store, food store, store, food",price level very cheap,Fort Greene
12,40.6975123,-73.9755468,Black Brick Project,"17 N Oxford St, Brooklyn, NY 11205, USA",http://www.blackbrickproject.com/,Rating: 5,9413,Culture,art gallery,price level very cheap,Fort Greene
13,40.6985551,-73.9712029,Posterfix Corp,"141 Flushing Ave, Brooklyn, NY 11205, USA",http://www.posterfix.com/,Rating: 4.6,1374,Culture,"art gallery, store",price level very cheap,Brooklyn Navy Yard
14,40.6980922,-73.9710207,Uncool Gallery,"141 Flushing Ave AKA Building 77, 1324A, Brooklyn, NY 11205, USA",https://uncoolgallery.com/,Rating: 5,14498,Culture,art gallery,price level very cheap,Brooklyn Navy Yard
15,40.6970543,-73.9649419,Kunstraum LLC,"20 Grand Ave Loft 509, Brooklyn, NY 11205, USA",http://www.kunstraumllc.com/,Rating: 4.8,7266,Culture,"art studio, art gallery",price level very cheap,Brooklyn Navy Yard
16,40.6963893,-73.9672626,Arty Goodness,"77 Washington Ave, Brooklyn, NY 11205, USA",https://artygoodness.com/,Rating: 5,17079,Culture,art gallery,price level very cheap,Brooklyn Navy Yard
17,40.696798,-73.968846,The Womens Darkroom  Gallery,"36 Waverly Ave #403, Brooklyn, NY 11205, USA",https://www.thewomensdarkroom.com/,Rating: 5,9298,Culture,art gallery,price level very cheap,Brooklyn Navy Yard
18,40.6970543,-73.9649419,Fort Makers,"20 Grand Ave, Brooklyn, NY 11205, USA",http://fortmakers.com/,Rating: 5,393,Culture,art gallery,price level very cheap,Brooklyn Navy Yard
19,40.6975275,-73.96121099999999,Taaffe Gallery,"50 Taaffe Pl, Brooklyn, NY 11205, USA",No URL,Rating: 5,17637,Culture,art gallery,price level very cheap,Clinton Hill
20,40.6974469,-73.9589178,Shtetl Art Gallery,"56 Franklin Ave, Brooklyn, NY 11205, USA",https://www.shtetlartgallery.com/,Rating: 5,15949,Culture,art gallery,price level very cheap,Bedford
21,40.6996642,-73.94975749999999,The Bishop,"630 Flushing Ave, Brooklyn, NY 11206, USA",http://thebishopgallery.com/,Rating: 4.7,16914,Culture,art gallery,price level very cheap,Bedford
22,40.6998241,-73.94809819999999,Re Art Show,"630 Flushing Ave, Brooklyn, NY 11206, USA",http://www.reart.show/,Rating: 5,4006,Culture,art gallery,price level very cheap,Bedford
23,40.69961300000001,-73.94792559999999,THE IW GALLERY,"630 Flushing Ave 1st Floor, Brooklyn, NY 11206, USA",https://www.theiwgallery.com/,Rating: 5,11244,Culture,art gallery,price level very cheap,Bedford
24,40.7038464,-73.98699690000001,usagi,"163 Plymouth St, Brooklyn, NY 11201, USA",http://usaginy.com/,Rating: 4.6,503,Culture,"art gallery, cafe, book store, home goods store, store, food",price level very cheap,DUMBO/Vinegar Hill
25,40.7041754,-73.98526749999999,John St Gallery,"70 John St, Brooklyn, NY 11201, USA",http://johnst.nyc/,Rating: 5,14418,Culture,art gallery,price level very cheap,DUMBO/Vinegar Hill
26,40.7037574,-73.9881497,ZAROLAT,"140 Plymouth St, Brooklyn, NY 11201, USA",https://www.zarolat.com/,Rating: 5,19323,Culture,art gallery,price level very cheap,DUMBO/Vinegar Hill
27,40.7073661,-73.96829420000002,Dreamers Welcome,"475 Kent Ave, Brooklyn, NY 11249, USA",http://www.dreamerswelco.me/,Rating: 5,18112,Culture,museum,price level very cheap,Williamsburg (South Side)
28,40.708526899999995,-73.954162,Soloway,"348 S 4th St #6, Brooklyn, NY 11211, USA",https://solowaygallery.com/,Rating: 5,925,Culture,art gallery,price level very cheap,Williamsburg (South Side)
29,40.705658199999995,-73.9517151,Cooler Gallery,"325 Rutledge St, Brooklyn, NY 11211, USA",http://www.cooler-gallery.com/,Rating: 4.9,8151,Culture,art gallery,price level very cheap,South Williamsburg
30,40.7085316,-73.954181,Aziza Mirzan,"348 S 4th St #1L, Brooklyn, NY 11211, USA",https://www.azizamirzan.com/,No rating,19511,Culture,"art gallery, art studio, store",price level very cheap,Williamsburg (South Side)
31,40.7071395,-73.9474418,ARTpartmentNYC,"63 Montrose Ave, Brooklyn, NY 11206, USA",No URL,No rating,9968,Culture,art gallery,price level very cheap,East Williamsburg
32,40.7045753,-73.94385799999999,ALIUME Art Gallery,"83 Seigel St, Brooklyn, NY 11206, USA",http://www.aliumeart.com/,Rating: 5,11025,Culture,art gallery,price level very cheap,East Williamsburg
33,40.7076691,-73.9457867,Land Back Hub,"104 Meserole St, Brooklyn, NY 11206, USA",http://www.ivcastellanos.com/land-back-hub-1,No rating,19699,Culture,art gallery,price level very cheap,East Williamsburg
34,40.702673,-73.94212,Gallery54,"54 Graham Ave, Brooklyn, NY 11206, USA",No URL,Rating: 4.3,11118,Culture,art gallery,price level very cheap,East Williamsburg
35,40.7076302,-73.9457614,STUDIO,"104 Meserole St, Brooklyn, NY 11206, USA",No URL,No rating,8294,Culture,art gallery,price level very cheap,East Williamsburg
